condition,tag,family,support,n_answered,tp,fp,fn,tn,precision,precision_lo,precision_hi,precision_lo_clust,precision_hi_clust,recall,recall_lo,recall_hi,recall_lo_clust,recall_hi_clust,f1,f1_lo_clust,f1_hi_clust,boot_degenerate,baseline_f1,accuracy,baseline_accuracy
camera,ped_crossing_ahead,map_context,339,628,7,1,332,288,0.875,0.5291,0.9776,0.3333,1.0,0.0206,0.01,0.042,0.003,0.0492,0.0403,0.0059,0.0938,False,0.7011,0.4697,0.5398
camera,stop_line_ahead,map_context,471,628,3,2,468,155,0.6,0.2307,0.8824,0.0,1.0,0.0064,0.0022,0.0186,0.0,0.0147,0.0126,0.0,0.0289,False,0.8571,0.2516,0.75
camera,intersection_ahead,map_context,541,628,199,6,342,81,0.9707,0.9376,0.9865,0.9057,1.0,0.3678,0.3283,0.4093,0.287,0.4494,0.5335,0.4422,0.6154,False,0.9256,0.4459,0.8615
camera,traffic_light_ahead,map_context,144,628,128,109,16,375,0.5401,0.4765,0.6024,0.3822,0.6896,0.8889,0.8271,0.9304,0.7988,0.9557,0.6719,0.5301,0.7874,False,0.0,0.801,0.7707
camera,has_pedestrian,visible_objects,378,628,161,0,217,250,1.0,0.9767,1.0,1.0,1.0,0.4259,0.3771,0.4763,0.321,0.5216,0.5974,0.486,0.6856,True,0.7515,0.6545,0.6019
camera,has_vehicle,visible_objects,584,628,555,6,29,38,0.9893,0.9769,0.9951,0.9785,0.9982,0.9503,0.9296,0.9652,0.9227,0.9745,0.9694,0.9538,0.9833,False,0.9637,0.9443,0.9299
camera,parked_vehicle,visible_objects,362,628,169,23,193,243,0.8802,0.8267,0.9188,0.8041,0.9427,0.4669,0.4161,0.5183,0.3723,0.5637,0.6101,0.5169,0.693,False,0.7313,0.6561,0.5764
camera,moving_vehicle,visible_objects,443,628,390,48,53,137,0.8904,0.8577,0.9163,0.8413,0.9329,0.8804,0.8468,0.9074,0.8276,0.9281,0.8854,0.8466,0.919,False,0.8273,0.8392,0.7054
camera,stopped_vehicle,visible_objects,257,628,55,125,202,246,0.3056,0.2429,0.3763,0.211,0.4153,0.214,0.1683,0.2682,0.1469,0.299,0.2517,0.1792,0.3258,False,0.0,0.4793,0.5908
camera,large_vehicle,visible_objects,406,628,185,6,221,216,0.9686,0.9332,0.9855,0.9406,0.9903,0.4557,0.4079,0.5043,0.3649,0.5475,0.6198,0.529,0.7019,False,0.7853,0.6385,0.6465
