condition,tag,family,prevalence,f1,baseline_f1_majority,baseline_f1_always_yes,mcc,balanced_accuracy
temporal,has_vehicle,visible_objects,0.93,0.9699,0.9637,0.964,0.604,0.823
temporal,parked_vehicle,visible_objects,0.576,0.5219,0.7313,0.731,0.385,0.663
temporal,moving_vehicle,visible_objects,0.705,0.8995,0.8273,0.827,0.628,0.791
temporal,stopped_vehicle,visible_objects,0.409,0.2053,0.0,0.581,-0.093,0.463
temporal,large_vehicle,visible_objects,0.646,0.5923,0.7853,0.785,0.374,0.681
temporal,cyclist,visible_objects,0.174,0.3231,0.0,0.296,0.406,0.596
temporal,parked_bicycle,visible_objects,0.108,0.0833,0.0,0.195,0.165,0.521
temporal,construction_object,visible_objects,0.323,0.6179,0.0,0.489,0.575,0.723
temporal,traffic_cone,visible_objects,0.215,0.633,0.0,0.354,0.586,0.741
temporal,barrier,visible_objects,0.193,0.7196,0.0,0.323,0.672,0.802
temporal,pedestrian_near,visible_objects,0.239,0.7103,0.0,0.386,0.614,0.82
temporal,vehicle_near,visible_objects,0.451,0.662,0.0,0.621,0.281,0.582
temporal,lead_vehicle,interaction,0.5,0.7085,0.6667,0.667,0.303,0.623
temporal,lead_braking,interaction,0.172,0.0,0.0,0.293,-0.018,0.499
temporal,cut_in,interaction,0.174,0.0,0.0,0.296,0.0,0.5
temporal,pedestrian_crossing_path,interaction,0.156,0.0594,0.0,0.27,0.161,0.515
